CONFIGURATION:
experiment file = experiments/transformation_invariance_testing.py
git branch = main
git commit hash = 6a88ef0c1b72cfb62fd7eeddc4d7ce3bd1faea6f
uncommitted changes = True
seed = 42
engine_config_name = local_400_nodes.ini
data_config_name = mirror_experiment_most_important_fens.ini
remove_pawns = False
num_positions = 1000
network_path = T807785-b124efddc27559564d6464ba3d213a8279b7bd35b1cbfcf9c842ae8053721207
transformations = ['mirror']
queue_max_size = 100000
num_engine_workers = 2
result_subdir = 

fen,original,mirror
r1bq1rk1/ppp2ppp/2npn3/3N3Q/B3RB2/8/PPP2PPP/R5K1 w - - 0 16,0.283583844009793,0.15721432458376025
r3r1kb/1bqn1p1p/p5pB/1p1pP1Q1/3p4/2P3NP/PPB3P1/R3R1K1 w - - 0 26,-0.04576558242488631,0.0798104163124178
r1bq1rk1/1p2bpnp/p3p1p1/3pN3/3P1P2/2NBP2Q/PP4PP/2R2RK1 w - - 0 16,0.563036101863899,0.43760262013719814
2krr3/1pp2pp1/p6p/2b1N2n/2N1PB2/2P5/PPb1RPPP/R5K1 b - - 0 18,0.470574483450536,0.3458426461663308
7r/p1pk4/1p2n3/3b2Bp/3P2nP/1P6/P4PP1/R3R1K1 w - - 1 25,0.0,-0.12447736266026811
r4rk1/pp1npp1p/2bp2p1/5P2/3RP3/q1N1QB2/P1P3PP/1R4K1 w - - 2 18,-0.45445312093582724,-0.578850173049274
1r5r/pp2k1p1/2np4/1Q2p1qp/4P1n1/6PB/PPP1N2P/R3K2R w - - 2 17,-0.32871807718748874,-0.20474784041099475
4r3/2r2qnk/p2p2Np/1p3p1P/1n1P4/1P3QN1/1P3PP1/3RR1K1 b - - 10 42,-0.5699323379482024,-0.6926055360815738
2r2rk1/pbq2ppp/1p2pB2/3P4/2n2b2/P2B1N2/4QPPP/R3RNK1 b - - 0 19,-0.3542051981882807,-0.47682491643619024
3r2k1/p2rbppp/1p6/5b2/R2B4/4P1P1/1P3PBP/R5K1 b - - 3 26,-0.2741639421760361,-0.1518112921932187
4b1k1/6pp/3q4/2ppPrP1/4p2P/2P1P1K1/3Q1R2/4R3 b - - 0 31,-0.04576558242488631,-0.16795149187765976
1r2rqk1/6pp/p1n1n1P1/3p3P/P2ppPQ1/1pP5/1P1B3K/RB4R1 w - - 0 34,-0.3020333792059105,-0.4235799497598454
2rr1k2/p2b2pp/2n2b2/1R6/2B2B2/qP6/P3QPPP/2R3K1 w - - 1 21,-0.11895159856359194,-0.24019597411532342
2r1r1k1/1b2bppp/p3q3/2pp4/N7/4PN2/PP1Q1PPP/2RR2K1 w - - 1 22,-0.19436526351756808,-0.315525038113223
1rk5/pq4pp/3P1r2/B1p1nP2/P3P3/3Q4/5P1P/3R1K2 w - - 1 33,-0.41273857833969546,-0.5335503341439289
3rr3/p1k2pp1/B1b2n2/6p1/N1Q3P1/P4P1P/1P6/4K2R w K - 1 28,0.24514167851707994,0.12447736266026811
7k/4qp2/4b1RP/3pP3/p2P4/1pPQ4/1P5r/1B2KR2 b - - 0 49,-0.6191063392366816,-0.7393933812445186
1r3rk1/p1pq1ppp/5n2/3p4/1b6/1P6/PBPNQPPP/R3R1K1 b - - 4 15,0.0798104163124178,0.19957011729583035
8/p2r2k1/2nq1ppp/3Nb3/1PP5/3PQ2P/6BP/4R2K w - - 0 36,0.5361291709629962,0.4163836214084282
2r2rk1/pbq2p1p/1p2pp2/3P4/2n2b2/P2B1N2/4QPPP/R3RNK1 w - - 0 20,0.36650018641052584,0.48599386963967134
2kr2r1/pbpn1p1p/1p2pp2/q7/2PP4/4QNP1/P1P1BP1P/2KR3R w - - 1 15,0.011459702414758802,-0.10784684857514161
5rk1/pp4qp/3pr3/1P2pb2/2P2n2/P3Q1P1/5P1N/3RRBK1 w - - 6 28,0.10784684857514161,-0.011459702414758802
r3r1k1/p4ppp/2p2q2/8/2P1n1b1/P2QB3/1P3PPP/2R1KB1R w K - 3 18,-0.59165896525642,-0.7105608745438305
1r3r2/p2bppbk/q2p2pp/1n1P4/1n2PPP1/4B2P/P2QN1B1/2RN1RK1 w - - 1 22,-0.12998440516513501,-0.011459702414758802
